FloatValue
38.88
34.87
34.59
34.59
32.03
30.87
30.58
30.01
29.73
28.88
28.31
28.02
27.74
25.66
25.05
24.74
24.44
23.82
23.51
23.20
22.89
22.26
21.64
21.33
21.02
20.71
20.39
20.08
19.76
19.44
19.13
19.13
18.50
18.19
17.87
17.56
17.56
17.56
17.56
17.56
17.56
17.56
17.56
17.56
17.56
17.56
17.56
17.56
17.56
17.56
17.56
17.56
17.56
17.56
17.56
17.56
17.56
17.56
17.56
17.56
17.56
17.56
17.56
17.56
17.56
17.56
17.56
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
9.10
32.92
32.92
32.92
32.92
32.92
32.92
32.92
32.92
32.92
32.92
32.92
32.92
32.92
32.92
32.92
32.92
32.92
24.10
24.10
24.10
24.10
24.10
22.25
22.25
22.25
22.25
22.25
22.25
20.42
20.42
20.42
20.42
20.42
20.42
18.58
18.58
18.58
18.58
18.58
18.58
18.58
18.58
18.58
18.58
18.58
18.58
18.58
18.58
18.58
18.58
18.58
18.58
18.58
18.58
18.58
18.58
18.58
18.58
18.58
18.58
18.58
18.58
18.58
18.58
18.58
18.58
18.58
18.58
18.58
9.06
9.06
9.06
9.06
9.06
9.06
9.06
9.06
9.06
9.06
9.06
9.06
9.06
9.06
9.06
9.06
9.06
9.06
9.06
9.06
9.06
9.06
9.06
9.06
9.06
9.06
9.06
9.06
9.06
9.06
9.06
